County_Forest_NH,Cost_Forest_NH,Qty_Forest_NH,County_Forest_H,Cost_Forest_H,Qty_Forest_H,County_Soil,Cost_Soil,Qty_Soil,County_MinCost,Cost_MinCost,Qty_MinCost,County_MaxQty,Cost_MaxQty,Qty_MaxQty,County_CE,Cost_CE,Qty_CE,Revenues_CE
"SAN FRANCISCO COUNTY, CA",0,1271.58636,"SAN FRANCISCO COUNTY, CA",0,1025.60865,"MARIN COUNTY, CA",0,0,"SAN FRANCISCO COUNTY, CA",0,1271.58636,"SAN FRANCISCO COUNTY, CA",0,1271.58636,"SAN FRANCISCO COUNTY, CA",0,1271.58636,0
"HARLAN COUNTY, KY",0.493014808,35484.08254,"MONTEREY COUNTY, CA",0.010259513,1687923.367,"SAN FRANCISCO COUNTY, CA",0,0,"TELLER COUNTY, CO",0,1296.22636,"LETCHER COUNTY, KY",0.113469659,69347.38582,"TELLER COUNTY, CO",0,1296.22636,0
"WALDO COUNTY, ME",0.547853919,165929.3996,"MARIN COUNTY, CA",0.03876675,2297406.104,"CLEAR CREEK COUNTY, CO",0,0,"GALVESTON COUNTY, TX",0,24802.78636,"HARLAN COUNTY, KY",0.259636672,119675.4349,"HALL COUNTY, GA",0,1317.17036,0
"MONTEREY COUNTY, CA",1.305418282,2241087.695,"LETCHER COUNTY, KY",0.113469659,2365481.903,"GILPIN COUNTY, CO",0,0,"VIRGINIA BEACH CITY, VA",0,71025.27036,"UNION COUNTY, AR",0.43208489,152668.8491,"GALVESTON COUNTY, TX",0,24823.73036,0
"PENDLETON COUNTY, WV",1.476317278,2481460.248,"GLENN COUNTY, CA",0.252650759,4472186.4,"GUNNISON COUNTY, CO",0,0,"MONTEREY COUNTY, CA",0.010259513,1757923.029,"WALDO COUNTY, ME",0.547853919,283114.1661,"VIRGINIA BEACH CITY, VA",0,71046.21436,0
"BARBOUR COUNTY, WV",1.48499655,2647383.349,"HARLAN COUNTY, KY",0.259636672,4522514.449,"LAKE COUNTY, CO",0,0,"MARIN COUNTY, CA",0.03876675,2367405.765,"CHATTAHOOCHEE COUNTY, GA",0.865456151,305952.1869,"MONTEREY COUNTY, CA",0.010259513,1757943.973,18035.64977
"HAMPSHIRE COUNTY, WV",1.552484736,2920465.466,"UNION COUNTY, AR",0.43208489,4555507.863,"SAN JUAN COUNTY, CO",0,0,"LETCHER COUNTY, KY",0.113469659,2435481.565,"HANCOCK COUNTY, GA",0.988658212,558128.6994,"MARIN COUNTY, CA",0.03876675,2367426.709,91777.43953
"ROANE COUNTY, WV",1.559369295,3053097.78,"WALDO COUNTY, ME",0.497001018,4674639.775,"TELLER COUNTY, CO",0,24.64,"HOOD COUNTY, TX",0.122040111,2446249.245,"GADSDEN COUNTY, FL",1.055679388,781631.1144,"LETCHER COUNTY, KY",0.113469659,2435502.509,276355.6382
"MARSHALL COUNTY, WV",1.591860602,3175108.29,"HANCOCK COUNTY, ME",0.749603257,4770839.97,"PINELLAS COUNTY, FL",0,24.64,"SHELBY COUNTY, TX",0.238010864,2447752.285,"JONES COUNTY, NC",1.127213918,1108093.965,"HOOD COUNTY, TX",0.122040111,2446270.189,298543.0851
"MINERAL COUNTY, WV",1.766269994,3309114.306,"TRIPP COUNTY, SD",0.809371895,6070023.07,"HALL COUNTY, GA",0,45.584,"NAVARRO COUNTY, TX",0.243267315,2610745.885,"CHESTERFIELD COUNTY, SC",1.20009925,1675664.908,"NAVARRO COUNTY, TX",0.243267315,2609263.789,634748.5952
